TimeUS,time_s,instance,acc_x_mps2,acc_y_mps2,acc_z_mps2,gyr_x_rads,gyr_y_rads,gyr_z_rads,acc_rate_reported_hz,gyr_rate_reported_hz,roll_deg,pitch_deg,yaw_deg,acc_body_norm_mps2,acc_nav_x_mps2,acc_nav_y_mps2,acc_nav_z_mps2,acc_lin_x_mps2,acc_lin_y_mps2,acc_lin_z_mps2,acc_lin_norm_mps2,vel_est_x_mps,vel_est_y_mps,vel_est_z_mps,vel_est_norm_mps
50654626,0.0,0,9.21786117553711,-0.06557302922010422,-3.355518341064453,0.0007239187834784389,0.000728022656403482,0.000745333731174469,999,999,1.5106618404388428,70.11924743652344,359.9036865234375,9.809830162181985,-0.021368342883952618,0.022947137564364797,-9.809780050218018,-0.021368342883952618,0.022947137564364797,-19.616430050218018,19.616455110246,0.0,0.0,0.0,0.0
50674626,0.02,0,9.216883659362793,-0.06451737880706787,-3.3564934730529785,0.000728087208699435,0.000717439572326839,0.0007684395532123744,999,999,1.5108692646026611,70.11965942382812,359.90338134765625,9.809238263853327,-0.022659771019857722,0.024042575003105346,-9.809182626825171,-0.022659771019857722,0.024042575003105346,-19.61583262682517,19.615860448990105,-0.0004402811390381034,0.00046989712567470143,-0.3923226267704319,0.3923231552264558
50694626,0.04,0,9.217256546020508,-0.06518033146858215,-3.3569157123565674,0.0007402232149615884,0.0007446508971042931,0.0007371301762759686,999,999,1.5109142065048218,70.11963653564453,359.9029235839844,9.809737499578398,-0.02294331536706773,0.02339428022016371,-9.809682773798936,-0.02294331536706773,0.02339428022016371,-19.616332773798938,19.61636014097634,-0.000896312002907358,0.000944265677907392,-0.784644280776673,0.7846453608914155
50714626,0.06,0,9.216874122619629,-0.06535611301660538,-3.3573074340820312,0.000754664943087846,0.0007857948658056557,0.0007146159186959267,999,999,1.5109033584594727,70.11966705322266,359.9023742675781,9.809513403868026,-0.02345125561710404,0.023229338283682927,-9.809457867645865,-0.02345125561710404,0.023229338283682927,-19.616107867645866,19.616135639790656,-0.0013602577127490756,0.0014105018629458582,-1.176968687191121,1.1769703184213869
50734626,0.08,0,9.216728210449219,-0.06521844863891602,-3.356287956237793,0.0007353909313678741,0.0007640355033800006,0.000706752180121839,999,999,1.5109225511550903,70.11963653564453,359.9018859863281,9.809026516251253,-0.022533451806377336,0.023339827197275273,-9.80897286633704,-0.022533451806377336,0.023339827197275273,-19.61562286633704,19.615649694525757,-0.0018201047869838894,0.0018761935177554403,-1.56928599453095,1.569288171597092
50754626,0.1,0,9.216693878173828,-0.0647260993719101,-3.356046438217163,0.0007937290938571095,0.0007129483856260777,0.0007254885276779532,999,999,1.5110228061676025,70.11961364746094,359.90142822265625,9.808908359617647,-0.022300883111582515,0.023831291306053146,-9.80885405883603,-0.022300883111582515,0.023831291306053146,-19.61550405883603,19.615531212333906,-0.0022684481361634878,0.0023479047027887244,-1.9615972637826808,1.9615999805753312
50774626,0.12,0,9.217207908630371,-0.06521918624639511,-3.355207681655884,0.0007192968623712659,0.000770572223700583,0.000761066097766161,999,999,1.5111619234085083,70.11961364746094,359.9010925292969,9.809107694393795,-0.021350497984667705,0.02332289599617278,-9.809056731356675,-0.021350497984667705,0.02332289599617278,-19.615706731356674,19.615732216051313,-0.0027049619471259897,0.0028194465758109833,-2.353909371684608,2.353912614393906
50794626,0.14,0,9.21755599975586,-0.06528064608573914,-3.355344772338867,0.000745621626265347,0.00079521001316607,0.0008144750026986003,999,999,1.5114789009094238,70.11961364746094,359.9009094238281,9.809482081774265,-0.021362399458332515,0.02328372757579937,-9.809431187819706,-0.021362399458332515,0.02328372757579937,-19.616081187819706,19.616106638454397,-0.0031320909215559922,0.003285512811530705,-2.746227250876372,2.7462310023091594
50814626,0.16,0,9.217427253723145,-0.06470869481563568,-3.3559470176696777,0.0007567790453322232,0.0007598015363328159,0.0007548654684796929,999,999,1.5115875005722046,70.11962127685547,359.9004821777344,9.809563332700847,-0.021958207822860842,0.02387892271985012,-9.809509692763847,-0.021958207822860842,0.02387892271985012,-19.616159692763844,19.616186516697223,-0.0035652969943679256,0.0037571393144872,-3.138549659682207,3.1385539335384665
50834626,0.18,0,9.216730117797852,-0.06485696882009506,-3.3557145595550537,0.0006891147349961102,0.000766664044931531,0.0007403554045595229,999,999,1.5115981101989746,70.11959838867188,359.9000549316406,9.808829731213418,-0.02197659136166985,0.023725385643937266,-9.808776418669376,-0.02197659136166985,0.023725385643937266,-19.615426418669376,19.615453077885412,-0.0040046449862132325,0.004233182398125073,-3.5308655207965387,3.530870329389695
50854626,0.2,0,9.216506004333496,-0.06369803100824356,-3.3561789989471436,0.0007024012738838792,0.0007420319016091526,0.0007275491952896118,999,999,1.511635184288025,70.11959075927734,359.8996276855469,9.808770455059266,-0.022457108086478605,0.024899351505408132,-9.808713143967182,-0.022457108086478605,0.024899351505408132,-19.61536314396718,19.61539180259,-0.0044489819806947176,0.004719429769618528,-3.9231734164229044,3.923178777698689
50874626,0.22,0,9.216675758361816,-0.06561136245727539,-3.355642318725586,0.0007633708883076906,0.000760561553761363,0.0007440439658239484,999,999,1.5117921829223633,70.11959838867188,359.8992614746094,9.808758955998455,-0.02194678687762286,0.02298096839725819,-9.808707482156716,-0.02194678687762286,0.02298096839725819,-19.615357482156718,19.615383221827816,-0.004893020930335732,0.005198232968645191,-4.315480622684143,4.31548652738508
50894626,0.24,0,9.216497421264648,-0.06506048887968063,-3.356266498565674,0.0007325292681343853,0.0007962716626934707,0.0007419706089422107,999,999,1.5118948221206665,70.11963653564453,359.89886474609375,9.80880127195905,-0.02258586075604896,0.023555412334194503,-9.808746984922648,-0.02258586075604896,0.023555412334194503,-19.615396984922647,19.615424131398964,-0.005338347406672449,0.005663596775959717,-4.707788167354937,4.707794600762509
50914626,0.26,0,9.217157363891602,-0.06517811119556427,-3.355510950088501,0.0007709129713475704,0.0007950183353386819,0.000697386683896184,999,999,1.5118353366851807,70.11964416503906,359.89825439453125,9.80916366430309,-0.02165541682824834,0.0234130004330549,-9.80911181847861,-0.02165541682824834,0.0234130004330549,-19.61576181847861,19.615787744695613,-0.005780760182515423,0.006133280903632212,-5.10009975538895,5.100106719397287
50934626,0.28,0,9.216165542602539,-0.06529983133077621,-3.356123685836792,0.0007913026493042707,0.0007347926730290055,0.0007321416051127017,999,999,1.5119043588638306,70.11959075927734,359.89776611328125,9.808442158225786,-0.022562543050151707,0.023313335764730075,-9.808388501241552,-0.022562543050151707,0.023313335764730075,-19.61503850124155,19.61506533216654,-0.006222939781299424,0.0066005442656100624,-5.492407758586152,5.492415250028122
50954626,0.3,0,9.216796875,-0.06515169143676758,-3.356144905090332,0.0007566179847344756,0.000714785885065794,0.00066939159296453,999,999,1.5116912126541138,70.11951446533203,359.89703369140625,9.809041645434615,-0.02235060353888585,0.02344940499208538,-9.808988152597472,-0.02235060353888585,0.02344940499208538,-19.61563815259747,19.61566490225887,-0.006672071247189799,0.007068171673178216,-5.884714525124542,5.884722552321162
50974626,0.32,0,9.216931343078613,-0.0657154768705368,-3.3558483123779297,0.0007663175347261131,0.000746175937820226,0.0007225343724712729,999,999,1.5117548704147339,70.11949920654297,359.8965148925781,9.80907028227523,-0.022038220666163344,0.02288135811040315,-9.809018837931546,-0.022038220666163344,0.02288135811040315,-19.615668837931544,19.615694563260252,-0.007115959489240291,0.007531479304203102,-6.277027595029832,6.27703614684717
50994626,0.34,0,9.217570304870605,-0.06627276539802551,-3.355900764465332,0.0006935629644431174,0.0007391287945210934,0.0007683872245252132,999,999,1.5118454694747925,70.11944580078125,359.89617919921875,9.809692367531456,-0.02187575757421234,0.022330788865497372,-9.80964255886544,-0.02187575757421234,0.022330788865497372,-19.61629255886544,19.616317467045143,-0.007555099271644048,0.007983600773962107,-6.669347208997802,6.669356266655208
51014626,0.36,0,9.217382431030273,-0.06533394753932953,-3.3566408157348633,0.0007335769478231668,0.0006978897145017982,0.0007567856227979064,999,999,1.5118634700775146,70.11936950683594,359.89569091796875,9.809762737723265,-0.022597050577967792,0.023291361379220665,-9.809709060732336,-0.022597050577967792,0.023291361379220665,-19.616359060732336,19.616385903468185,-0.007999827353165848,0.008439822276409286,-7.06167372519378,7.061683299959715
51034626,0.38,0,9.216208457946777,-0.0655989795923233,-3.3565709590911865,0.000759476562961936,0.000761358707677573,0.0006694075418636203,999,999,1.5116933584213257,70.11936950683594,359.8949890136719,9.808637528722713,-0.02293746459809176,0.02301551192775629,-9.808583706570287,-0.02293746459809176,0.02301551192775629,-19.615233706570287,19.61526062035482,-0.008455172504926445,0.008902891009479056,-7.453989652866806,7.453999764988984
51054626,0.4,0,9.216991424560547,-0.06535663455724716,-3.35530424118042,0.0007467587711289525,0.0007500818464905024,0.0007751516532152891,999,999,1.511899709701538,70.11931610107422,359.8946533203125,9.808938217818818,-0.02146462445566044,0.023233868514316997,-9.80888721610344,-0.02146462445566044,0.023233868514316997,-19.61553721610344,19.61556271991931,-0.008899193395463967,0.009365384813899789,-7.8462973620935434,7.846307998063287
51074626,0.42,0,9.215912818908691,-0.06498133391141891,-3.3558812141418457,0.0006968702655285597,0.0007387781515717506,0.0007739835418760777,999,999,1.5119315385818481,70.11927032470703,359.8942565917969,9.80811961503899,-0.022355769136412906,0.02362792050737729,-9.808065676975833,-0.022355769136412906,0.02362792050737729,-19.614715676975834,19.6147426480095,-0.0093373973313847,0.009834002704116732,-8.238599891024336,8.238611051565933
51094626,0.44,0,9.217734336853027,-0.0644969493150711,-3.3555660247802734,0.0006497567519545555,0.0007065907120704651,0.0006777679082006216,999,999,1.5116652250289917,70.11923217773438,359.8935852050781,9.8097201544147,-0.021420461010485337,0.02408674697390195,-9.809667196210086,-0.021420461010485337,0.02408674697390195,-19.616317196210083,19.616343679438764,-0.009775159632853683,0.010311149378929525,-8.630910219756196,8.630921914548834
51114626,0.46,0,9.216148376464844,-0.06390640139579773,-3.3560709953308105,0.0007548531866632402,0.0007563507533632219,0.0007591436733491719,999,999,1.5117850303649902,70.11920928955078,359.8931884765625,9.808398821971691,-0.022414575034574113,0.024699432283143363,-9.808342111474628,-0.022414575034574113,0.024699432283143363,-19.614992111474628,19.615020469230743,-0.010213509993304278,0.010799011171499978,-9.023223312833043,9.023235555369391
51134626,0.48,0,9.216608047485352,-0.06461359560489655,-3.3557794094085693,0.0007362061878666282,0.0007159895030781627,0.0008091116906143725,999,999,1.5120830535888672,70.1191177368164,359.8929748535156,9.808735609767412,-0.021987110923816555,0.024001533329936903,-9.808681601299448,-0.021987110923816555,0.024001533329936903,-19.615331601299445,19.615358608386074,-0.010657526852888184,0.01128602082763078,-9.415526549960783,9.415539345686
51154626,0.5,0,9.216873168945312,-0.06417220830917358,-3.356111526489258,0.0007005489314906299,0.0007239761180244386,0.0007845530635677278,999,999,1.5122278928756714,70.11905670166016,359.8926696777344,9.809095455900984,-0.022186719496708918,0.024460508144798485,-9.809039866164099,-0.022186719496708918,0.024460508144798485,-19.615689866164097,19.615717664477984,-0.01109926515709344,0.011770641242378135,-9.807836764635418,9.807850108123413
