TimeUS,time_s,roll_deg,pitch_deg,yaw_deg
50654626,0.0,1.5106618404388428,70.11924743652344,359.9036865234375
50674626,0.02,1.5108692646026611,70.11965942382812,359.90338134765625
50694626,0.04,1.5109142065048218,70.11963653564453,359.9029235839844
50714626,0.06,1.5109033584594727,70.11966705322266,359.9023742675781
50734626,0.08,1.5109225511550903,70.11963653564453,359.9018859863281
50754626,0.1,1.5110228061676025,70.11961364746094,359.90142822265625
50774626,0.12,1.5111619234085083,70.11961364746094,359.9010925292969
50794626,0.14,1.5114789009094238,70.11961364746094,359.9009094238281
50814626,0.16,1.5115875005722046,70.11962127685547,359.9004821777344
50834626,0.18,1.5115981101989746,70.11959838867188,359.9000549316406
50854626,0.2,1.511635184288025,70.11959075927734,359.8996276855469
50874626,0.22,1.5117921829223633,70.11959838867188,359.8992614746094
50894626,0.24,1.5118948221206665,70.11963653564453,359.89886474609375
50914626,0.26,1.5118353366851807,70.11964416503906,359.89825439453125
50934626,0.28,1.5119043588638306,70.11959075927734,359.89776611328125
50954626,0.3,1.5116912126541138,70.11951446533203,359.89703369140625
50974626,0.32,1.5117548704147339,70.11949920654297,359.8965148925781
50994626,0.34,1.5118454694747925,70.11944580078125,359.89617919921875
51014626,0.36,1.5118634700775146,70.11936950683594,359.89569091796875
51034626,0.38,1.5116933584213257,70.11936950683594,359.8949890136719
51054626,0.4,1.511899709701538,70.11931610107422,359.8946533203125
51074626,0.42,1.5119315385818481,70.11927032470703,359.8942565917969
51094626,0.44,1.5116652250289917,70.11923217773438,359.8935852050781
51114626,0.46,1.5117850303649902,70.11920928955078,359.8931884765625
51134626,0.48,1.5120830535888672,70.1191177368164,359.8929748535156
51154626,0.5,1.5122278928756714,70.11905670166016,359.8926696777344
51174626,0.52,1.512388825416565,70.11902618408203,359.8923645019531
51194626,0.54,1.51239013671875,70.11898803710938,359.8918762207031
51214626,0.56,1.5122801065444946,70.1189193725586,359.89117431640625
51234626,0.58,1.512369990348816,70.11878967285156,359.8907775878906
51254626,0.6,1.5124101638793945,70.11873626708984,359.8903503417969
51274626,0.62,1.5125572681427002,70.11868286132812,359.8900146484375
51294626,0.64,1.5126019716262817,70.11865997314453,359.8895568847656
51314626,0.66,1.5127495527267456,70.11857604980469,359.8891906738281
51334626,0.68,1.5130375623703003,70.11859130859375,359.8889465332031
51354626,0.7,1.5130460262298584,70.11854553222656,359.8885192871094
51374626,0.72,1.5131292343139648,70.11833190917969,359.8880920410156
51394626,0.74,1.5130958557128906,70.1181869506836,359.8875427246094
51414626,0.76,1.5132827758789062,70.11831665039062,359.88720703125
51434626,0.78,1.5132942199707031,70.11833190917969,359.8866882324219
51454626,0.8,1.5134741067886353,70.11833953857422,359.8863525390625
51474626,0.82,1.513569712638855,70.11841583251953,359.885986328125
51494626,0.84,1.5138096809387207,70.11844635009766,359.8857421875
51514626,0.86,1.513890027999878,70.11842346191406,359.8852844238281
