TimeUS,time_s,instance,lat_deg,lon_deg,alt_m,speed_mps,vz_mps,status,nsats,hdop,seg_m,cum_dist_m,gps_dt_s,east_m,north_m,up_m
50814626,0.0,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,,-0.0,0.0,0.0
51014626,0.2,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.2,-0.0,0.0,0.0
51214626,0.4,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.2,-0.0,0.0,0.0
51414626,0.6,0,-35.3632649,149.1652374,584.85,0.0020000000949949026,0.0,6,10,1.21,0.0,0.0,0.19999999999999996,-0.0,0.0,0.0
51614626,0.8,0,-35.3632649,149.1652374,584.85,0.0020000000949949026,0.0,6,10,1.21,0.0,0.0,0.20000000000000007,-0.0,0.0,0.0
51814626,1.0,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.19999999999999996,-0.0,0.0,0.0
52014626,1.2,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.19999999999999996,-0.0,0.0,0.0
52214626,1.4,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.19999999999999996,-0.0,0.0,0.0
52414626,1.6,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
52614626,1.8,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.19999999999999996,-0.0,0.0,0.0
52814626,2.0,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.19999999999999996,-0.0,0.0,0.0
53014626,2.2,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
53214626,2.4,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.19999999999999973,-0.0,0.0,0.0
53414626,2.6,0,-35.3632649,149.1652374,584.85,0.0020000000949949026,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
53614626,2.8,0,-35.3632649,149.1652374,584.85,0.0020000000949949026,0.0,6,10,1.21,0.0,0.0,0.19999999999999973,-0.0,0.0,0.0
53814626,3.0,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
54014626,3.2,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
54214626,3.4,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.19999999999999973,-0.0,0.0,0.0
54414626,3.6,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
54614626,3.8,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.19999999999999973,-0.0,0.0,0.0
54814626,4.0,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
55014626,4.2,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
55214626,4.4,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
55414626,4.6,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.1999999999999993,-0.0,0.0,0.0
55614626,4.8,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
55814626,5.0,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
56014626,5.2,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
56214626,5.4,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
56414626,5.6,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.1999999999999993,-0.0,0.0,0.0
56614626,5.8,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
56814626,6.0,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
57014626,6.2,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
57214626,6.4,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
57414626,6.6,0,-35.3632649,149.1652374,584.85,0.0020000000949949026,0.0,6,10,1.21,0.0,0.0,0.1999999999999993,-0.0,0.0,0.0
57614626,6.8,0,-35.3632649,149.1652374,584.85,0.0020000000949949026,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
57814626,7.0,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
58014626,7.2,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
58214626,7.4,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.20000000000000018,-0.0,0.0,0.0
58414626,7.6,0,-35.3632649,149.1652374,584.85,0.0,0.0,6,10,1.21,0.0,0.0,0.1999999999999993,-0.0,0.0,0.0
